CLIENTE,SUBCARPETA,NO. PARTE,CODIGO,NOMBRE,LIGA,RMS,,,
NISSAN,H60A,550205JJ4C,OP-FINALES_H-55020-5JJ4C,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_105004.058_OP-FINALES_H-55020-5JJ4C.PDF&pr02=application/pdf&pr03=8519,VERDADERO,,,
NISSAN,H60A,550205JJ5C,OP-FINALES_H-55020-5JJ5C,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_105226.840_OP-FINALES_H-55020-5JJ5C.PDF&pr02=application/pdf&pr03=8520,VERDADERO,,,
NISSAN,H60A,550205JJ6C,OP-FINALES_H-55020-5JJ6C,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_105433.497_OP-FINALES_H-55020-5JJ6C.PDF&pr02=application/pdf&pr03=8521,VERDADERO,,,
NISSAN,X11M (USA),550209SJ0A,PRODUCCION_OP-FINALES_H-55020-9SJ0A,HOJA DE ESPECIFICACION OPERACIONES FINALES,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_111111.625_PRODUCCION_OP-FINALES_H-55020-9SJ0A.PDF&pr02=application/pdf&pr03=8522,VERDADERO,,,
NISSAN,X11M (USA),550209SJ0A,PRODUCCION_OP-PREVIAS_H-55020-9SJ0A,HOJA DE ESPECIFICACION OPERACIONES PREVIAS,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=11062025_111532.752_PRODUCCION_OP-PREVIAS_H-55020-9SJ0A.PDF&pr02=application/pdf&pr03=8523,VERDADERO,,,
FORD,MOTOR HOME,4C345310AC,PRODUCCION_4C34-5310-AC,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_111833.994_H-4C34-5310-AC.pdf&pr02=application/pdf&pr03=7550,VERDADERO,,,
FORD,MOTOR HOME,4C345310AD,PRODUCCION_4C34-5310-AD,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_112247.405_H-4C34-5310-AD.pdf&pr02=application/pdf&pr03=7552,VERDADERO,,,
FORD,MOTOR HOME,4C345310BD,PRODUCCION_4C34-5310-BD,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_112516.328_H-4C34-5310-BD.pdf&pr02=application/pdf&pr03=7554,VERDADERO,,,
FORD,MOTOR HOME,4C345560BB,PRODUCCION_4C34-5560-BB,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_112859.566_H-4C34-5560-BB.pdf&pr02=application/pdf&pr03=7558,VERDADERO,,,
FORD,MOTOR HOME,4C345560DB,PRODUCCION_4C34-5560-DB,HOJA DE ESPECIFICACION COMPLETA,http://rsx-sviis1/rms/frm_showfilepdf.ashx?pr01=05072025_113153.335_H-4C34-5560-DB.pdf&pr02=application/pdf&pr03=7560,VERDADERO,,,
